ID     | Command line              | Date and time    | Action(s)      | Altered
   437 | update                    | 2020-04-18 09:34 | Upgrade        |    4   
   436 | update                    | 2020-04-17 14:53 | Upgrade        |    1   
   435 | update                    | 2020-04-17 11:19 | Upgrade        |   51  <
   434 | update                    | 2020-04-17 03:44 | E, I, U        |   62 >#
   433 | update                    | 2020-04-15 18:45 | Upgrade        |    1 EE
   432 | update                    | 2020-04-14 21:11 | Upgrade        |    1   
   431 | update                    | 2020-04-14 19:26 | I, U           |    5   
   430 | update                    | 2020-04-14 17:40 | Upgrade        |    7   
   429 | update                    | 2020-04-12 13:16 | Upgrade        |   18 EE
   428 | update                    | 2020-04-11 11:22 | Upgrade        |    5   
   427 | update                    | 2020-04-10 20:44 | Upgrade        |   49   
   426 | update                    | 2020-04-09 19:41 | Upgrade        |    1   
   425 | update                    | 2020-04-08 18:28 | Upgrade        |   16 EE
   424 | update                    | 2020-04-07 22:13 | Upgrade        |    1   
   423 | update                    | 2020-04-07 19:25 | E, I, U        |   47   
   422 | update                    | 2020-04-07 00:47 | Upgrade        |    8   
   421 | install openscad          | 2020-04-06 19:15 | Install        |    5   
   420 | update                    | 2020-04-05 21:39 | Upgrade        |   19 EE
   419 | update                    | 2020-04-04 10:26 | I, U           |   36 EE
   418 | update                    | 2020-04-02 17:24 | E, I, U        |   41 EE
   417 | update                    | 2020-04-01 19:42 | I, U           |   24   
   416 | install lua-devel         | 2020-03-31 19:54 | Install        |    1   
   415 | update                    | 2020-03-31 19:52 | Upgrade        |    2   
   414 | update                    | 2020-03-30 18:47 | Upgrade        |   21   
   413 | update                    | 2020-03-29 12:16 | Upgrade        |    3   
   412 | update                    | 2020-03-28 13:22 | Upgrade        |    1   
   411 | update                    | 2020-03-27 16:01 | E, I, U        |   16   
   410 | update                    | 2020-03-26 09:08 | Upgrade        |   35   
   409 | update                    | 2020-03-25 16:44 | Upgrade        |    6   
   408 | update                    | 2020-03-24 16:05 | Upgrade        |    1 EE
   407 | install gftp              | 2020-03-24 11:38 | Install        |    1   
   406 | update                    | 2020-03-24 10:41 | Upgrade        |   15 EE
   405 | update                    | 2020-03-22 12:37 | Upgrade        |    2   
   404 | update                    | 2020-03-21 13:04 | E, I           |   10   
   403 | update                    | 2020-03-20 11:06 | Upgrade        |   15 EE
   402 | update                    | 2020-03-19 16:20 | E, I, U        |  123 EE
   401 | update                    | 2020-03-17 20:08 | Upgrade        |   30   
   400 | update                    | 2020-03-16 21:16 | Upgrade        |   14   
   399 | update                    | 2020-03-14 18:20 | Upgrade        |    1   
   398 | update                    | 2020-03-13 20:06 | Upgrade        |   12   
   397 | update                    | 2020-03-12 23:39 | I, O, U        |   21   
   396 | update                    | 2020-03-10 23:08 | E, I, U        |   27   
   395 | update                    | 2020-03-10 00:26 | Upgrade        |   23   
   394 | update                    | 2020-03-08 11:58 | Upgrade        |   25   
   393 | upgrade                   | 2020-03-06 19:30 | E, I, U        |  216 EE
   392 | update                    | 2020-02-15 12:34 | Upgrade        |   64 EE
   391 | update                    | 2020-02-13 23:12 | E, I, U        |   13   
   390 | update                    | 2020-02-12 09:26 | I, U           |   27 EE
   389 | install dpdk-*            | 2020-02-11 01:23 | Install        |    7   
   388 | update                    | 2020-02-10 09:03 | Upgrade        |    3   
   387 | update                    | 2020-02-09 19:18 | Upgrade        |   15   
   386 | update                    | 2020-02-08 10:02 | Upgrade        |    8   
   385 | update                    | 2020-02-07 22:36 | Upgrade        |   18 EE
   384 | update                    | 2020-02-07 03:05 | E, I, U        |   53 EE
   383 | update                    | 2020-02-05 19:31 | Upgrade        |    1   
   382 | update                    | 2020-02-05 00:05 | Upgrade        |   14   
   381 | update                    | 2020-02-03 18:49 | Upgrade        |   33 EE
   380 | update                    | 2020-02-02 22:49 | E, I, U        |   34 EE
   379 | update                    | 2020-02-01 13:19 | I, U           |   33 EE
   378 | update                    | 2020-01-31 20:23 | E, I, U        |   84 EE
   377 | update                    | 2020-01-31 00:45 | Upgrade        |    1 EE
   376 | update                    | 2020-01-29 01:40 | Upgrade        |    1 EE
   375 | update                    | 2020-01-28 01:26 | Upgrade        |   59   
   374 | update                    | 2020-01-26 01:15 | E, I, U        |   63 EE
   373 | update                    | 2020-01-22 22:00 | E, I, U        |   54   
   372 | update                    | 2020-01-19 20:44 | Upgrade        |   25 EE
   371 | update                    | 2020-01-18 00:04 | E, I, U        |   55   
   370 | update                    | 2020-01-15 00:35 | Upgrade        |   18 EE
   369 | update                    | 2020-01-14 00:36 | I, U           |   34 EE
   368 | update                    | 2020-01-12 11:39 | Upgrade        |   31   
   367 | update                    | 2020-01-10 20:11 | E, I, U        |   52   
   366 | update                    | 2020-01-09 10:09 | I, U           |   44   
   365 | update                    | 2020-01-08 19:25 | Upgrade        |    6   
   364 | install qemu              | 2020-01-07 17:45 | Install        |   44   
   363 | update                    | 2020-01-07 16:20 | Upgrade        |   51   
   362 | update                    | 2020-01-06 13:17 | E, I, U        |   19   
   361 | update                    | 2020-01-05 19:34 | Upgrade        |   21 EE
