ID     | Command line              | Date and time    | Action(s)      | Altered
   266 | update                    | 2018-11-23 22:01 | E, I, O, U     |   48   
   265 | update                    | 2018-11-18 12:00 | Upgrade        |    3   
   264 | update                    | 2018-11-17 14:32 | Upgrade        |    1   
   263 | autoremove                | 2018-11-17 14:32 | Removed        |   26   
   262 | system-upgrade upgrade    | 2018-11-17 13:48 | D, E, I, O, U  | 2473 EE
   261 | install nss-pem-1.0.3-9.f | 2018-11-17 12:09 | Upgrade        |    5 EE
   260 | upgrade --refresh         | 2018-11-17 09:00 | Upgrade        |    1   
   259 | update                    | 2018-11-16 22:14 | E, I, U        |   42 EE
   258 | update                    | 2018-11-10 17:28 | Upgrade        |   12 EE
   257 | update                    | 2018-11-04 22:59 | E, I, U        |   71 EE
   256 | update                    | 2018-10-25 01:11 | E, I, U        |   13 EE
   255 | autoremove                | 2018-10-20 12:44 | Removed        |    9 EE
   254 | upgrade --refresh --best  | 2018-10-20 12:29 | E, U           |    3   
   253 | update                    | 2018-10-20 12:25 | E, I, U        |  141 EE
   252 | install mesa-libOpenCL-de | 2018-09-30 15:00 | Install        |    4   
   251 | update                    | 2018-09-30 14:54 | E, I, U        |   78 EE
   250 | update                    | 2018-09-23 13:20 | Upgrade        |    1 EE
   249 | update                    | 2018-09-22 16:32 | E, I, U        |  114 EE
   248 | update                    | 2018-09-01 15:38 | Upgrade        |    8   
   247 | install dnf-plugin-system | 2018-08-30 15:52 | Install        |    2 EE
   246 | upgrade --refresh         | 2018-08-30 15:49 | Upgrade        |    1 EE
   245 | update                    | 2018-08-30 15:42 | Upgrade        |   48 EE
   244 | update                    | 2018-08-28 22:44 | E, I, U        |  107 EE
   243 | update                    | 2018-08-19 17:16 | E, I, O, U     |  323 EE
   242 | update                    | 2018-07-10 21:48 | E, I, U        |  319 EE
   241 | update                    | 2018-06-04 21:10 | Upgrade        |   30 EE
   240 | update                    | 2018-06-01 21:42 | Upgrade        |   13 EE
   239 | update                    | 2018-05-31 23:51 | E, I, U        |  132 EE
   238 | install libusb-devel      | 2018-05-29 21:31 | Install        |    2   
   237 | update                    | 2018-05-24 17:27 | E, I, U        |   66 EE
   236 | update                    | 2018-05-20 23:48 | E, I, U        |  124 EE
   235 | update                    | 2018-05-05 01:28 | Upgrade        |   42 EE
   234 | update                    | 2018-05-01 09:46 | E, I, U        |   71 EE
   233 | update                    | 2018-04-29 21:19 | E, I, U        |   31 EE
   232 | update                    | 2018-04-28 01:26 | E, I, U        |  125 EE
   231 | update                    | 2018-04-22 23:28 | Upgrade        |   29 EE
   230 | update                    | 2018-04-21 12:11 | E, I, U        |  129 E<
   229 | update --best --alloweras | 2018-04-09 22:03 | Removed        |    1 > 
   228 | autoremove                | 2018-04-09 22:02 | Removed        |   57 EE
   227 | update                    | 2018-04-09 15:28 | Upgrade        |   38 EE
   226 | update                    | 2018-04-07 16:46 | Upgrade        |   42 EE
   225 | update                    | 2018-04-06 08:32 | Upgrade        |    4 EE
   224 | system-upgrade upgrade    | 2018-04-05 15:17 | D, E, I, O, U  | 2448 EE
   223 | upgrade --refresh         | 2018-04-05 09:56 | E, I, U        |   12   
   222 | update                    | 2018-04-03 15:58 | Upgrade        |    8 EE
   221 | update                    | 2018-04-02 13:45 | Upgrade        |   24 EE
   220 | update                    | 2018-04-01 09:32 | Upgrade        |    5 EE
   219 | update                    | 2018-03-31 19:13 | Upgrade        |    3 EE
   218 | update                    | 2018-03-30 19:17 | E, I, U        |   31 EE
   217 | update                    | 2018-03-24 16:43 | E, I, U        |  109 EE
   216 | update                    | 2018-03-17 10:50 | E, I, U        |   64 EE
   215 | update                    | 2018-03-10 14:32 | I, U           |   89 EE
   214 | update                    | 2018-03-04 16:53 | E, I, U        |   80 EE
   213 | install lightdm-gtk-greet | 2018-03-04 16:46 | Install        |    1   
   212 | update                    | 2018-02-24 17:11 | E, I, O, U     |   90 EE
   211 | update                    | 2018-02-18 13:55 | Upgrade        |    1 EE
   210 | update                    | 2018-02-17 13:38 | E, I, U        |   57 EE
   209 | update                    | 2018-02-11 11:39 | Upgrade        |   60 EE
   208 | update                    | 2018-02-03 15:00 | E, I, U        |   16 EE
   207 | update                    | 2018-02-02 10:07 | Upgrade        |    1 EE
   206 | update                    | 2018-02-01 10:29 | Upgrade        |   27 EE
   205 | update                    | 2018-01-30 17:42 | Upgrade        |    7 EE
   204 | update                    | 2018-01-29 10:53 | Upgrade        |    7 EE
   203 | update                    | 2018-01-28 16:11 | E, I, U        |   46 EE
   202 | update                    | 2018-01-20 19:09 | E, I, U        |  128 EE
